Time (UTC),Open,High,Low,Close,Volume 
2003.12.02 21:34:00,1.20812,1.20826,1.20795,1.20799,451.3
2003.12.02 21:35:00,1.20802,1.20828,1.20802,1.20826,352.5
2003.12.02 21:36:00,1.20816,1.20816,1.20772,1.20784,777.8
2003.12.02 21:37:00,1.20774,1.20797,1.20771,1.20783,532.7
2003.12.02 21:38:00,1.20779,1.20793,1.20768,1.20783,706.7
2003.12.02 21:39:00,1.2079,1.2079,1.2077,1.2078,527
2003.12.02 21:40:00,1.20785,1.20792,1.20761,1.20788,771.7
2003.12.02 21:41:00,1.20807,1.20816,1.20755,1.20755,421.8
2003.12.02 21:42:00,1.20763,1.20802,1.20763,1.20787,750.1
2003.12.02 21:43:00,1.20766,1.2078,1.20756,1.2078,505.8
2003.12.02 21:44:00,1.20758,1.20777,1.20755,1.2077,397.3
2003.12.02 21:45:00,1.20784,1.20795,1.20773,1.20774,390.1
2003.12.02 21:46:00,1.20777,1.20796,1.20777,1.20783,493.8
2003.12.02 21:47:00,1.20793,1.2081,1.20791,1.20792,466.3
2003.12.02 21:48:00,1.20784,1.20803,1.20775,1.20803,607.5
2003.12.02 21:49:00,1.20803,1.20817,1.20789,1.20802,464.7
2003.12.02 21:50:00,1.20809,1.20818,1.20795,1.20802,282.3
2003.12.02 21:51:00,1.20804,1.20815,1.20789,1.20797,490.8
2003.12.02 21:52:00,1.20804,1.20804,1.20781,1.20795,597.5
2003.12.02 21:53:00,1.20793,1.20808,1.20791,1.208,358.1
2003.12.02 21:54:00,1.20784,1.20799,1.20784,1.20792,472.6
2003.12.02 21:55:00,1.20797,1.20813,1.20787,1.20787,821.4
2003.12.02 21:56:00,1.2079,1.20822,1.20782,1.20812,699.5
2003.12.02 21:57:00,1.20812,1.20825,1.20772,1.20772,541.7
2003.12.02 21:58:00,1.20783,1.20791,1.20764,1.20764,332.6
2003.12.02 21:59:00,1.20783,1.20796,1.20774,1.20785,363.8
2003.12.02 22:00:00,1.20777,1.20798,1.20769,1.20787,791.3
